D,pattern,A,direct_M,direct_position,intersect_locate_M,intersect_position,contained_locate_M,contained_position,candidate_positions_in_intersect_cells,candidate_positions_in_contained_cells,intersect_cell_range,contained_cell_range,resonance_q1221,resonance_r1221,contained_q1221,contained_r1221,suffix_at_intersect
5,14507,14507,25206,25207,25206,25207,25206,25207,10,9,608467..608509,608468..608508,20,786,20,786,14507739429352019
5,18359,18359,29526,29527,29526,29527,29526,29527,4,4,770032..770074,770033..770073,24,222,24,222,18359844383052037
5,33597,33597,358379,358380,358379,358380,358379,358380,4,4,1409160..1409202,1409161..1409201,293,626,293,626,33597536055953938
5,34312,34312,216780,216781,216780,216781,216780,216781,5,5,1439149..1439191,1439150..1439190,177,663,177,663,34312490521332794
5,34623,34623,7545,7546,7545,7546,7545,7546,7,7,1452193..1452235,1452194..1452234,6,219,6,219,34623518975766452
5,46056,46056,75998,75999,75998,75999,75998,75999,6,6,1931728..1931770,1931729..1931769,62,296,62,296,46056762972931464
5,50000,50000,13388,13389,13388,13389,13388,13389,9,9,2097152..2097193,2097152..2097192,10,1178,10,1178,50000907151058236
5,55145,55145,146370,146371,146370,146371,146370,146371,2,2,2312948..2312990,2312949..2312989,119,1071,119,1071,55145395183070167
5,62561,62561,9183,9184,9183,9184,9183,9184,5,5,2623998..2624040,2623999..2624039,7,636,7,636,62561252163208628
5,63939,63939,214582,214583,214582,214583,214582,214583,3,3,2681796..2681837,2681797..2681836,175,907,175,907,63939901004379068
5,66056,66056,50057,50058,50057,50058,50057,50058,4,4,2770589..2770631,2770590..2770630,40,1217,40,1217,66056874274200329
5,73875,73875,43569,43570,43569,43570,43569,43570,5,4,3098542..3098584,3098543..3098583,35,834,35,834,73875061692127680
5,74077,74077,152095,152096,152095,152096,152095,152096,4,4,3107014..3107056,3107015..3107055,124,691,124,691,74077322477257322
5,76399,76399,19566,19567,19566,19567,19566,19567,11,10,3204406..3204448,3204407..3204447,16,30,16,30,76399589161458550
5,77327,77327,198321,198322,198321,198322,198321,198322,1,1,3243329..3243371,3243330..3243370,162,519,162,519,77327310910874040
5,78147,78147,131574,131575,131574,131575,131574,131575,8,8,3277722..3277764,3277723..3277763,107,927,107,927,78147131362262886
5,84199,84199,14709,14710,14709,14710,14709,14710,6,6,3531562..3531603,3531563..3531602,12,57,12,57,84199076112872580
5,97539,97539,113386,113387,113386,113387,113386,113387,7,5,4091082..4091124,4091083..4091123,92,1054,92,1054,97539071740422259
5,99235,99235,8744,8745,8744,8745,8744,8745,5,5,4162217..4162259,4162218..4162258,7,197,7,197,99235630254947802
5,99340,99340,92223,92224,92223,92224,92223,92224,3,2,4166621..4166663,4166622..4166662,75,648,75,648,99340456890267875
5,99999,99999,761,762,761,762,761,762,9,9,4194262..4194303,4194263..4194303,0,761,0,761,99999983729780499
