H_boundary,start_M,known_n,hidden_k,cert_base,L_min,L_offset,L_cert,decimal_digits_used_for_cert,prefix_preview,true_hidden,true_full_preview,q_cell_C_digits,decimal_range_width,prefix_condition_range_width,candidate_count_after_prefix,recovered_hidden,success,ambiguous,Amin_minus_prefix_low,Amax_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low
1608089,1607990,99,1,4,167,0,167,161,412298639874239459957921065835,7,64338511658852605134...42394599579210658357,101,1,10,1,7,True,False,7,7,7,7
1610213,1610114,99,1,4,167,0,167,161,840676938370527929620527899958,4,15696233411147775256...05279296205278999584,100,1,10,1,4,True,False,4,4,4,4
1625435,1625336,99,1,4,167,0,167,161,798804992789475784238370571738,5,34233517184521345762...94757842383705717385,101,1,10,1,5,True,False,5,5,5,5
1684039,1683940,99,1,4,167,0,167,161,852477959372044797523336188705,0,76542677492183415882...20447975233361887050,101,2,10,2,,False,True,0,1,0,1
1684398,1684299,99,1,4,167,0,167,161,772020671298766747809619699508,0,02084819117190811665...87667478096196995080,99,1,10,1,0,True,False,0,0,0,0
1728416,1728317,99,1,4,167,0,167,161,999729176179301832402252844187,5,15977083419731694869...93018324022528441875,100,2,10,2,,False,True,5,6,5,6
1745941,1745842,99,1,4,167,0,167,161,706527049797708300745929252280,3,21622174064699884478...77083007459292522803,100,2,10,2,,False,True,2,3,2,3
1754761,1754662,99,1,4,167,0,167,161,065327984725464447960433491335,0,84802543478046300617...54644479604334913350,101,2,10,2,,False,True,0,1,0,1
1783050,1782951,99,1,4,167,0,167,161,254307835200240208629385672231,8,04889158819224818878...02402086293856722318,100,1,10,1,8,True,False,8,8,8,8
1811447,1811348,99,1,4,167,0,167,161,929292245797167652375540617011,8,72796091435274907564...71676523755406170118,101,2,10,2,,False,True,7,8,7,8
1815389,1815290,99,1,4,167,0,167,161,901797729584824489716294531929,5,50674094303962424700...48244897162945319295,101,1,10,1,5,True,False,5,5,5,5
1820147,1820048,99,1,4,167,0,167,161,234712316028860904374392869504,4,87461735690337066930...88609043743928695044,101,1,10,1,4,True,False,4,4,4,4
1843537,1843438,99,1,4,167,0,167,161,714340305270451545819145319651,4,34691160751748887785...04515458191453196514,101,2,10,2,,False,True,3,4,3,4
1848479,1848380,99,1,4,167,0,167,161,771890083405436321326502790870,1,06296544351765145045...54363213265027908701,100,1,10,1,1,True,False,1,1,1,1
1855701,1855602,99,1,4,167,0,167,161,939962781242682760502085146310,5,67341940819706819634...26827605020851463105,101,2,10,2,,False,True,5,6,5,6
1859291,1859192,99,1,4,167,0,167,161,187824677640649221356245101157,9,01127265567533025394...06492213562451011579,99,2,10,2,,False,True,8,9,8,9
1881449,1881350,99,1,4,167,0,167,161,174500184610907852942425397985,0,79029384797993356467...09078529424253979850,101,1,10,1,0,True,False,0,0,0,0
1897638,1897539,99,1,4,167,0,167,161,046976751436639707383918942564,2,34615260166451632035...66397073839189425642,101,2,10,2,,False,True,1,2,1,2
1901647,1901548,99,1,4,167,0,167,161,556188494378696802858033949971,9,44834075446426306030...86968028580339499719,101,1,10,1,9,True,False,9,9,9,9
1913257,1913158,99,1,4,167,0,167,161,139715536863282691525832959983,7,05688753325647852630...32826915258329599837,100,2,10,2,,False,True,6,7,6,7
1943552,1943453,99,1,4,167,0,167,161,755495440214995589398703608787,2,15614432181914077905...49955893987036087872,100,1,10,1,2,True,False,2,2,2,2
1956221,1956122,99,1,4,167,0,167,161,008069054870351739777066256500,2,91431550231754078783...03517397770662565002,101,1,10,1,2,True,False,2,2,2,2
1984535,1984436,99,1,4,167,0,167,161,056331069486623609543505565751,2,17256223607164263970...66236095435055657512,100,2,10,2,,False,True,1,2,1,2
1988383,1988284,99,1,4,167,0,167,161,237278546852170162806747599491,3,84453569954531500825...21701628067475994913,101,2,10,2,,False,True,3,4,3,4
10000,9901,99,1,4,167,1,168,162,959688159205600101655256375678,5,64560016237428802109...56001016552563756785,101,1,10,1,5,True,False,5,5,5,5
12953,12854,99,1,4,167,1,168,162,210259417375623899420757136275,1,45222681268872684459...56238994207571362751,101,1,10,1,1,True,False,1,1,1,1
13584,13485,99,1,4,167,1,168,162,669134522244470804592396602817,1,42940266829738652209...44708045923966028171,101,1,10,1,1,True,False,1,1,1,1
21165,21066,99,1,4,167,1,168,162,177601733073855475800605601433,7,59554028644059024964...38554758006056014337,101,1,10,1,7,True,False,7,7,7,7
23743,23644,99,1,4,167,1,168,162,875571049729011487171897180046,9,31039357860689611125...90114871718971800469,101,1,10,1,9,True,False,9,9,9,9
37545,37446,99,1,4,167,1,168,162,956119201229888988700607999279,5,05539189911513352522...98889887006079992795,100,1,10,1,5,True,False,5,5,5,5
