H_boundary,start_M,known_n,hidden_k,Q_cert,offset,D_total_decimal_depth,L_min,L_cert,decimal_digits_used_for_cert,known_prefix_tail_preview,true_hidden,recovered_hidden,success,ambiguous,candidate_count,surviving_digits_if_k1,A_min_minus_prefix_low,A_max_minus_prefix_low,candidate_low_minus_prefix_low,candidate_high_minus_prefix_low,q_cell_decimal_digits
1500000,1499950,50,1,4,1,51,85,86,142,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,52
1500000,1499950,50,1,4,2,51,85,87,143,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,53
1500000,1499950,50,1,4,4,51,85,89,144,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,54
1500000,1499950,50,1,16,0,51,43,43,142,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,52
1500000,1499950,50,1,16,1,51,43,44,143,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,53
1500000,1499950,50,1,16,2,51,43,45,145,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,55
1500000,1499950,50,1,16,4,51,43,47,147,794715117319607737991914462295,2,2,True,False,1,2,2,2,2,2,57
10000,9901,99,1,4,0,100,167,167,191,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,101
10000,9901,99,1,4,1,100,167,168,192,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,101
10000,9901,99,1,4,2,100,167,169,192,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,102
10000,9901,99,1,4,4,100,167,171,193,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,103
10000,9901,99,1,16,0,100,84,84,192,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,101
10000,9901,99,1,16,1,100,84,85,193,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,103
10000,9901,99,1,16,2,100,84,86,194,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,104
10000,9901,99,1,16,4,100,84,88,196,959688159205600101655256375678,5,5,True,False,1,5,5,5,5,5,106
50000,49901,99,1,4,0,100,167,167,191,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49901,99,1,4,1,100,167,168,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49901,99,1,4,2,100,167,169,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,102
50000,49901,99,1,4,4,100,167,171,193,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,103
50000,49901,99,1,16,0,100,84,84,192,112718106910522900246574236041,3,,False,True,2,23,2,3,2,3,101
50000,49901,99,1,16,1,100,84,85,193,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,103
50000,49901,99,1,16,2,100,84,86,194,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,104
50000,49901,99,1,16,4,100,84,88,196,112718106910522900246574236041,3,3,True,False,1,3,3,3,3,3,106
100000,99901,99,1,4,0,100,167,167,191,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,101
100000,99901,99,1,4,1,100,167,168,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,101
100000,99901,99,1,4,2,100,167,169,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,102
100000,99901,99,1,4,4,100,167,171,193,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,103
100000,99901,99,1,16,0,100,84,84,192,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,101
100000,99901,99,1,16,1,100,84,85,193,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,103
100000,99901,99,1,16,2,100,84,86,194,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,104
100000,99901,99,1,16,4,100,84,88,196,712790913767420805655493624646,4,4,True,False,1,4,4,4,4,4,106
500000,499901,99,1,4,0,100,167,167,191,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,101
500000,499901,99,1,4,1,100,167,168,192,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,101
500000,499901,99,1,4,2,100,167,169,192,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,102
500000,499901,99,1,4,4,100,167,171,193,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,103
500000,499901,99,1,16,0,100,84,84,192,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,101
500000,499901,99,1,16,1,100,84,85,193,193325290740424876025138195242,6,6,True,False,1,6,6,6,6,6,102
