L_base4,K,K_kind,top_fraction,top_residue_count,coverage,recall_mean,recall_sd,lift_mean,lift_sd,residue_entropy_norm,max_bin_share,dataset
8,109,resonance,0.1,11,0.10091743119266056,0.09674784342447916,0.0011046824667523827,0.9586831757516572,0.010946398988728156,0.9999378926497559,0.009796142578125,random_base4
8,109,resonance,0.2,22,0.2018348623853211,0.19557291666666668,0.001171512901029792,0.9689749053030302,0.00580431391873851,0.9999378926497559,0.009796142578125,random_base4
8,635,resonance,0.01,6,0.009448818897637795,0.008258056640625,0.0002928839666817726,0.8739776611328125,0.03099688647382093,0.9996432197546562,0.001861572265625,random_base4
8,635,resonance,0.02,13,0.02047244094488189,0.0182647705078125,0.0004062201843568984,0.8921637901893029,0.019842293620510043,0.9996432197546562,0.001861572265625,random_base4
8,635,resonance,0.05,32,0.050393700787401574,0.045842488606770836,0.0007902062491578774,0.9096868832906088,0.015680655256726624,0.9996432197546562,0.001861572265625,random_base4
8,635,resonance,0.1,64,0.10078740157480315,0.09331461588541666,0.0009284880850200961,0.9258559544881185,0.009212342718558766,0.9996432197546562,0.001861572265625,random_base4
8,635,resonance,0.2,127,0.2,0.188214111328125,0.001274173757763315,0.941070556640625,0.006370868788816575,0.9996432197546562,0.001861572265625,random_base4
8,3284,resonance,0.01,33,0.010048721071863581,0.0077484130859375,0.00037643982061533974,0.7710845022490529,0.03746146578487198,0.998425387691996,0.0004730224609375,random_base4
8,3284,resonance,0.02,66,0.020097442143727162,0.015926106770833334,0.0005724918350922015,0.7924444641729799,0.028485805855193787,0.998425387691996,0.0004730224609375,random_base4
8,3284,resonance,0.05,164,0.049939098660170524,0.0411407470703125,0.0008194542739883869,0.8238183742616236,0.016409072169377207,0.998425387691996,0.0004730224609375,random_base4
8,3284,resonance,0.1,328,0.09987819732034105,0.08446756998697917,0.0011218156377080768,0.845705792186706,0.01123183705558941,0.998425387691996,0.0004730224609375,random_base4
8,3284,resonance,0.2,657,0.20006090133982948,0.175213623046875,0.001543248308182998,0.8758014278324773,0.0077138926089390675,0.998425387691996,0.0004730224609375,random_base4
8,15785,resonance,0.01,158,0.010009502692429522,0.0055043538411458336,0.00039754799220897345,0.5499128188764998,0.039717057322902816,0.9932719891696362,0.0001678466796875,random_base4
8,15785,resonance,0.02,316,0.020019005384859043,0.011632283528645834,0.0006028326821177359,0.5810620110749192,0.030113018630469817,0.9932719891696362,0.0001678466796875,random_base4
8,15785,resonance,0.05,789,0.04998416217928413,0.031678263346354166,0.0009647121923197546,0.6337660163779475,0.019300357358386984,0.9932719891696362,0.0001678466796875,random_base4
8,15785,resonance,0.1,1578,0.09996832435856826,0.06772562662760416,0.00113015848700302,0.6774708595163067,0.011305165853829329,0.9932719891696362,0.0001678466796875,random_base4
8,15785,resonance,0.2,3157,0.2,0.14765625,0.001912222776079784,0.73828125,0.00956111388039892,0.9932719891696362,0.0001678466796875,random_base4
8,113,control,0.01,1,0.008849557522123894,0.008516438802083333,0.00035352418630406953,0.9623575846354167,0.03994823305235986,0.9999096540062861,0.009490966796875,random_base4
8,113,control,0.02,2,0.017699115044247787,0.016935221354166665,0.0005918592106128442,0.9568400065104167,0.03344004539962571,0.9999096540062861,0.009490966796875,random_base4
8,113,control,0.05,6,0.05309734513274336,0.0512939453125,0.0008599389277811224,0.9660359700520833,0.016195516473211137,0.9999096540062861,0.009490966796875,random_base4
8,113,control,0.1,11,0.09734513274336283,0.09431660970052083,0.0015554723717973967,0.968888808741714,0.015978943455736895,0.9999096540062861,0.009490966796875,random_base4
8,113,control,0.2,23,0.20353982300884957,0.19924418131510416,0.0014314898500705203,0.9788953255915989,0.007032971872085599,0.9999096540062861,0.009490966796875,random_base4
8,641,control,0.01,6,0.0093603744149766,0.008488972981770834,0.0004488666739572587,0.9069052802191842,0.047953923001100456,0.9996123975078913,0.001922607421875,random_base4
8,641,control,0.02,13,0.0202808112324493,0.018359375,0.0006478837034502104,0.9052584134615385,0.031945650300891144,0.9996123975078913,0.001922607421875,random_base4
8,641,control,0.05,32,0.0499219968798752,0.04625752766927083,0.0009902529584121952,0.9265961011250814,0.019836004573194285,0.9996123975078913,0.001922607421875,random_base4
8,641,control,0.1,64,0.0998439937597504,0.09347737630208333,0.0013674221140269284,0.9362343470255534,0.013695587110800956,0.9996123975078913,0.001922607421875,random_base4
8,641,control,0.2,128,0.1996879875195008,0.18906758626302084,0.001699393167228313,0.946815021832784,0.008510242345260537,0.9996123975078913,0.001922607421875,random_base4
8,3251,control,0.01,33,0.010150722854506305,0.007759602864583334,0.0003480371871800634,0.7644384519018309,0.03428693622795111,0.9984391235917895,0.0004730224609375,random_base4
8,3251,control,0.02,65,0.019993848046754845,0.015834554036458334,0.0005012527045168785,0.7919713103465545,0.02507034680591341,0.9984391235917895,0.0004730224609375,random_base4
8,3251,control,0.05,163,0.050138418948015996,0.040894571940104166,0.0007765902525993375,0.815633456302323,0.01548892583558556,0.9984391235917895,0.0004730224609375,random_base4
8,3251,control,0.1,325,0.09996924023377422,0.08463033040364583,0.001240983554846098,0.8465637050530848,0.012413653959398963,0.9984391235917895,0.0004730224609375,random_base4
8,3251,control,0.2,650,0.19993848046754845,0.17468465169270833,0.002049574926095041,0.8736920040815305,0.010251027822669198,0.9984391235917895,0.0004730224609375,random_base4
8,16001,control,0.01,160,0.009999375039060059,0.0052032470703125,0.00029950273117015285,0.5203572273254394,0.02995214500908509,0.9930627719709759,0.000152587890625,random_base4
