targets_used,coverage,mean_recall,mean_lift,median_lift,weighted_recall,weighted_lift,mean_target_hits,dataset,K,L_base4,top_fraction
128,0.01,0.009386513664585924,0.9386513664585924,0.8281608998319674,0.009379486361461157,0.9379486361461157,244.8828125,pi,5,5,0.01
128,0.05,0.05210473595850157,1.0420947191700312,1.0484929917244328,0.052176973031766855,1.043539460635337,244.2109375,pi,5,5,0.05
128,0.1,0.10134668950548334,1.0134668950548333,1.0060593751057851,0.10130571814497974,1.0130571814497973,242.921875,pi,5,5,0.1
128,0.01,0.008528943753460558,0.8528943753460558,0.8316331823368719,0.00854126679462572,0.8541266794625719,244.21875,pi,87,5,0.01
128,0.05,0.049762116011758256,0.9952423202351652,0.988593155893536,0.04975948520276512,0.9951897040553024,245.2421875,pi,87,5,0.05
128,0.1,0.09713940185070881,0.971394018507088,0.9307034648267587,0.09722311706719927,0.9722311706719927,242.515625,pi,87,5,0.1
128,0.01,0.010128783502257023,1.0128783502257022,0.884973078805678,0.010130571814497974,1.0130571814497973,242.921875,pi,1221,5,0.01
128,0.05,0.04779741061288453,0.9559482122576906,0.9503284072249589,0.04803116916296746,0.9606233832593492,244.6328125,pi,1221,5,0.05
128,0.1,0.10095718900032793,1.0095718900032795,1.007908227056764,0.10086195805995112,1.008619580599511,242.90625,pi,1221,5,0.1
128,0.01,0.00991778838179562,0.991778838179562,0.8333333333333333,0.009901306333642083,0.9901306333642083,244.6015625,pi,5669,5,0.01
128,0.05,0.05234229602220433,1.0468459204440868,0.9900103666006974,0.052431343713034304,1.048626874260686,244.3671875,pi,5669,5,0.05
128,0.1,0.10027673637422567,1.0027673637422567,0.9838670646124061,0.10009866641204367,1.0009866641204366,245.4609375,pi,5669,5,0.1
128,0.01,0.010457668684635026,1.0457668684635024,0.8908730158730158,0.010436127037299492,1.0436127037299492,242.546875,random,1,5,0.01
128,0.05,0.0506384049121832,1.0127680982436642,1.0127490182717998,0.05067068865926449,1.0134137731852897,243.453125,random,1,5,0.05
128,0.1,0.09927594189266889,0.992759418926689,0.9770840539605672,0.09914941421922645,0.9914941421922644,243.3984375,random,1,5,0.1
128,0.01,0.009364340771854482,0.9364340771854481,0.8438818565400843,0.009330050537773747,0.9330050537773746,241.15625,random,2,5,0.01
128,0.05,0.05067453142556162,1.0134906285112324,1.0191128741435267,0.050638962363364036,1.0127792472672807,245.1484375,random,2,5,0.05
128,0.1,0.09733208347459528,0.9733208347459525,0.9560288258729785,0.09715979726498995,0.9715979726498994,245.0859375,random,2,5,0.1
128,0.01,0.009479757209071741,0.947975720907174,0.8333333333333333,0.009467644246094996,0.9467644246094996,245.078125,random,5,5,0.01
128,0.05,0.05065031133485605,1.0130062266971211,1.0394805194805192,0.05078651685393258,1.0157303370786515,243.359375,random,5,5,0.05
128,0.1,0.09971053960152462,0.9971053960152462,0.965818759936407,0.09985583853916387,0.9985583853916387,243.8671875,random,5,5,0.1
128,0.01,0.010595820554507432,1.059582055450743,0.9029759478189971,0.010606108863904194,1.0606108863904193,245.2890625,random,87,5,0.01
128,0.05,0.047391276424248986,0.9478255284849797,0.9569597069597069,0.04732345694813298,0.9464691389626596,244.1640625,random,87,5,0.05
128,0.1,0.09946160736119944,0.9946160736119942,0.975609756097561,0.09945067157781094,0.9945067157781093,246.0390625,random,87,5,0.1
128,0.01,0.009734235218860358,0.973423521886036,0.8753112430568857,0.00978761514841351,0.978761514841351,244.25,random,1221,5,0.01
128,0.05,0.049028410915983825,0.9805682183196764,0.9621318373071528,0.04889967740905171,0.9779935481810342,244.6015625,random,1221,5,0.05
128,0.1,0.10246541381859242,1.0246541381859244,1.0294247514085377,0.10247827486321211,1.024782748632121,242.734375,random,1221,5,0.1
128,0.01,0.00920978827031392,0.9209788270313919,0.8385781090678949,0.009250693802035153,0.9250693802035153,244.9140625,random,5669,5,0.01
128,0.05,0.048692364183604994,0.9738472836720997,0.9938271604938271,0.04868624420401855,0.973724884080371,242.625,random,5669,5,0.05
128,0.1,0.10284518849903032,1.0284518849903033,1.0084631249555507,0.10299385875127942,1.0299385875127942,244.25,random,5669,5,0.1
