cutoff_H,step,boundary_before_step,tail_len,tail_preview,true_digit,selected_digit,accepted_count,accepted_digits,rejected_count,negative_alignment_candidates,certificate_guard_len,guard_preview,step_correct,tail_occurrences_in_known_after_step,tail_has_earlier_duplicate_diagnostic
50000,9,50008,100,691052290024657423604130093691,8,8,1,8,9,10,32,8892558657846684,True,1,False
50000,10,50009,100,910522900246574236041300936918,8,8,1,8,9,10,32,8925586578466846,True,1,False
50000,11,50010,100,105229002465742360413009369188,9,9,1,9,9,10,32,9255865784668461,True,1,False
50000,12,50011,100,052290024657423604130093691889,2,2,1,2,9,10,32,2558657846684612,True,1,False
50000,13,50012,100,522900246574236041300936918892,5,5,1,5,9,10,32,5586578466846121,True,1,False
50000,14,50013,100,229002465742360413009369188925,5,5,1,5,9,10,32,5865784668461215,True,1,False
50000,15,50014,100,290024657423604130093691889255,8,8,1,8,9,10,32,8657846684612156,True,1,False
50000,16,50015,100,900246574236041300936918892558,6,6,1,6,9,10,32,6578466846121567,True,1,False
50000,17,50016,100,002465742360413009369188925586,5,5,1,5,9,10,32,5784668461215679,True,1,False
50000,18,50017,100,024657423604130093691889255865,7,7,1,7,9,10,32,7846684612156795,True,1,False
50000,19,50018,100,246574236041300936918892558657,8,8,1,8,9,10,32,8466846121567955,True,1,False
50000,20,50019,100,465742360413009369188925586578,4,4,1,4,9,10,32,4668461215679554,True,1,False
50000,21,50020,100,657423604130093691889255865784,6,6,1,6,9,10,32,6684612156795542,True,1,False
50000,22,50021,100,574236041300936918892558657846,6,6,1,6,9,10,32,6846121567955425,True,1,False
50000,23,50022,100,742360413009369188925586578466,8,8,1,8,9,10,32,8461215679554256,True,1,False
50000,24,50023,100,423604130093691889255865784668,4,4,1,4,9,10,32,4612156795542566,True,1,False
50000,25,50024,100,236041300936918892558657846684,6,6,1,6,9,10,32,6121567955425660,True,1,False
50000,26,50025,100,360413009369188925586578466846,1,1,1,1,9,10,32,1215679554256605,True,1,False
50000,27,50026,100,604130093691889255865784668461,2,2,1,2,9,10,32,2156795542566054,True,1,False
50000,28,50027,100,041300936918892558657846684612,1,1,1,1,9,10,32,1567955425660541,True,1,False
50000,29,50028,100,413009369188925586578466846121,5,5,1,5,9,10,32,5679554256605416,True,1,False
50000,30,50029,100,130093691889255865784668461215,6,6,1,6,9,10,32,6795542566054160,True,1,False
50000,31,50030,100,300936918892558657846684612156,7,7,1,7,9,10,32,7955425660541600,True,1,False
50000,32,50031,100,009369188925586578466846121567,9,9,1,9,9,10,32,9554256605416005,True,1,False
50000,33,50032,100,093691889255865784668461215679,5,5,1,5,9,10,32,5542566054160050,True,1,False
50000,34,50033,100,936918892558657846684612156795,5,5,1,5,9,10,32,5425660541600507,True,1,False
50000,35,50034,100,369188925586578466846121567955,4,4,1,4,9,10,32,4256605416005071,True,1,False
50000,36,50035,100,691889255865784668461215679554,2,2,1,2,9,10,32,2566054160050712,True,1,False
50000,37,50036,100,918892558657846684612156795542,5,5,1,5,9,10,32,5660541600507127,True,1,False
50000,38,50037,100,188925586578466846121567955425,6,6,1,6,9,10,32,6605416005071276,True,1,False
50000,39,50038,100,889255865784668461215679554256,6,6,1,6,9,10,32,6054160050712766,True,1,False
50000,40,50039,100,892558657846684612156795542566,0,0,1,0,9,10,32,0541600507127664,True,1,False
50000,41,50040,100,925586578466846121567955425660,5,5,1,5,9,10,32,5416005071276641,True,1,False
50000,42,50041,100,255865784668461215679554256605,4,4,1,4,9,10,32,4160050712766417,True,1,False
50000,43,50042,100,558657846684612156795542566054,1,1,1,1,9,10,32,1600507127664176,True,1,False
50000,44,50043,100,586578466846121567955425660541,6,6,1,6,9,10,32,6005071276641766,True,1,False
50000,45,50044,100,865784668461215679554256605416,0,0,1,0,9,10,32,0050712766417660,True,1,False
50000,46,50045,100,657846684612156795542566054160,0,0,1,0,9,10,32,0507127664176605,True,1,False
50000,47,50046,100,578466846121567955425660541600,5,5,1,5,9,10,32,5071276641766056,True,1,False
50000,48,50047,100,784668461215679554256605416005,0,0,1,0,9,10,32,0712766417660568,True,1,False
50000,49,50048,100,846684612156795542566054160050,7,7,1,7,9,10,32,7127664176605687,True,1,False
50000,50,50049,100,466846121567955425660541600507,1,1,1,1,9,10,32,1276641766056874,True,1,False
50000,51,50050,100,668461215679554256605416005071,2,2,1,2,9,10,32,2766417660568742,True,1,False
50000,52,50051,100,684612156795542566054160050712,7,7,1,7,9,10,32,7664176605687427,True,1,False
50000,53,50052,100,846121567955425660541600507127,6,6,1,6,9,10,32,6641766056874274,True,1,False
50000,54,50053,100,461215679554256605416005071276,6,6,1,6,9,10,32,6417660568742742,True,1,False
50000,55,50054,100,612156795542566054160050712766,4,4,1,4,9,10,32,4176605687427420,True,1,False
50000,56,50055,100,121567955425660541600507127664,1,1,1,1,9,10,32,1766056874274200,True,1,False
50000,57,50056,100,215679554256605416005071276641,7,7,1,7,9,10,32,7660568742742003,True,1,False
50000,58,50057,100,156795542566054160050712766417,6,6,1,6,9,10,32,6605687427420032,True,1,False
50000,59,50058,100,567955425660541600507127664176,6,6,1,6,9,10,32,6056874274200329,True,1,False
